datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO_lag_1,CO_lag_2,CO_lag_3,CO_lag_24,NO2_lag_1,NO2_lag_2,NO2_lag_3,NO2_lag_24,hour,day_of_week,month
2004-03-12 21:00:00,4.4,1598.0,333.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,3.7,3.9,2.4,4.8,145.0,149.0,119.0,151.0,21,4,3
2004-03-12 22:00:00,3.5,1484.0,215.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,4.4,3.7,3.9,3.9,149.0,145.0,149.0,136.0,22,4,3
2004-03-13 00:00:00,2.7,1280.0,122.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,3.5,4.4,3.7,1.5,139.0,149.0,145.0,85.0,0,5,3
2004-03-13 01:00:00,1.9,1196.0,67.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,2.7,3.5,4.4,1.0,113.0,139.0,149.0,53.0,1,5,3
2004-03-13 02:00:00,1.6,1184.0,43.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,1.9,2.7,3.5,1.7,97.0,113.0,139.0,97.0,2,5,3
2004-03-13 03:00:00,1.7,1172.0,46.0,5.4,783.0,96.0,1179.0,82.5,1380.0,996.0,7.8,67.5,0.7173,1.6,1.9,2.7,1.9,82.0,97.0,113.0,110.0,3,5,3
2004-03-13 04:00:00,1.35,1147.0,56.0,6.2,821.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158,1.7,1.6,1.9,1.4,82.5,82.0,97.0,91.0,4,5,3
2004-03-13 05:00:00,1.0,978.0,30.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,1.35,1.7,1.6,0.8,83.0,82.5,82.0,61.5,5,5,3
2004-03-13 06:00:00,1.2,1100.0,27.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,1.0,1.35,1.7,0.7,65.0,83.0,82.5,32.0,6,5,3
2004-03-13 07:00:00,1.5,1112.0,47.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,1.2,1.0,1.35,0.6,60.0,65.0,83.0,44.0,7,5,3
2004-03-13 08:00:00,2.7,1336.0,132.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,1.5,1.2,1.0,0.8,77.0,60.0,65.0,71.0,8,5,3
2004-03-13 09:00:00,3.7,1408.0,239.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,2.7,1.5,1.2,1.4,96.0,77.0,60.0,104.0,9,5,3
2004-03-13 10:00:00,3.2,1447.0,160.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,3.7,2.7,1.5,4.4,119.0,96.0,77.0,141.0,10,5,3
2004-03-13 11:00:00,4.1,1542.0,283.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,3.2,3.7,2.7,3.75,126.0,119.0,96.0,131.5,11,5,3
2004-03-13 12:00:00,3.6,1451.0,210.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,4.1,3.2,3.7,3.1,158.0,126.0,119.0,122.0,12,5,3
2004-03-13 13:00:00,2.8,1328.0,154.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,3.6,4.1,3.2,2.7,161.0,158.0,126.0,143.0,13,5,3
2004-03-13 14:00:00,2.0,1207.0,112.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,2.8,3.6,4.1,2.1,124.0,161.0,158.0,113.0,14,5,3
2004-03-13 15:00:00,2.0,1240.0,108.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,2.0,2.8,3.6,2.5,102.0,124.0,161.0,116.0,15,5,3
